case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm46;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-23 13:02:19.044360
algorithm46;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 13:02:20.044360
algorithm46;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-23 13:02:21.044360
algorithm46;ml5, ml4 = LAPACK.syev_3.34e+06;3.34e+06;ml5, ml4 = LAPACK.syev!('V', 'L', ml4);(Z18 W19 Z18^T) = tmp14;2022-12-23 13:02:22.044360
algorithm46;gemv_2e+05;2e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml6);tmp21 = (tmp56 tmp71);2022-12-23 13:02:23.044360
algorithm46;gemv_2e+04;2e+04;gemv!('T', 1.0, ml4, ml6, 0.0, ml7);tmp268 = (Z18^T tmp21);2022-12-23 13:02:24.044360
algorithm46;gemv_100;100;gemv!('N', 1.0, ml4, ml7, 0.0, ml8);tmp269 = (W19^-1 tmp268);2022-12-23 13:02:25.044360
algorithm49;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 13:07:16.044360
algorithm49;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 13:07:17.044360
algorithm49;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-23 13:07:18.044360
algorithm49;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2022-12-23 13:07:19.044360
algorithm49;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 13:07:20.044360
